Argent Final (€),4000.00
Réserve d'Eau Finale (L),428.60
Score de Durabilité Final (%),77.00
Nombre de Récoltes,0

Journal Quotidien
Jour,Rendement du jour (kg),Qualité moyenne du sol (%)
1,0.00,80.00
2,0.00,80.00
3,0.00,80.00
4,0.00,80.00
5,0.00,80.00
6,0.00,80.00
7,0.00,80.00
8,0.00,80.00
9,0.00,80.00
10,0.00,80.00
11,0.00,80.00
12,0.00,80.00
13,0.00,79.33
14,0.00,79.33
15,0.00,79.33
16,0.00,79.33
17,0.00,79.33
18,0.00,79.33
19,0.00,79.33
20,0.00,79.33
21,0.00,79.33
22,0.00,79.33
23,0.00,79.33
24,0.00,79.33
25,0.00,79.33
26,0.00,79.33
27,0.00,79.33
28,0.00,79.33
29,0.00,79.33
30,0.00,79.33
31,0.00,78.67
32,0.00,78.67
33,0.00,78.67
34,0.00,78.67
35,0.00,78.67
36,0.00,78.67
37,0.00,78.00
38,0.00,78.00
39,0.00,78.00
40,0.00,78.00
